Date,CompanyName,ProductName,ScrapedSKU,SKU,Price,Rating,InStock,Reviews
2023-09-14,frontline hobbies,KYOSHO 1/10 EP 4WD FAZER MK2 1957 CHEVY BEL AIR COUPE TROPICAL TURQUOISE [34433T1],KYO-34433T1,KYO-34433T1,459.0,0 out of 5 stars,No,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/10 EP 4WD FAZER MK2 1965 BUICK RIVIERA REGAL BLACK [34434T1],KYO-34434T1,KYO-34434T1,459.0,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/10 EP 4WD FAZER MK2 1969 CHEVY EL CAMINO COLOR TYPE 2 (SILVER),KYO-34419T2,KYO-34419T2,404.1,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/10 EP 4WD FAZER MK2 DODGE CHARGER 1970 SUBLIME GREEN T2 [34417T2],KYO-34417T2,KYO-34417T2,449.0,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/10 EP 4WD FAZER MK2 MAD VAN READYSET COLOR TYPE 2 [34412T2],KYO-34412T2,KYO-34412T2,339.15,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/10 EP 4WD FAZER MK2 MAD VAN VE T2 YELLOW [34491T2],KYO-34491T2,KYO-34491T2,519.0,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/10 EP KB10 MAD WAGON VE COLOR TYPE1 BLACK,KYO-34701T1,KYO-34701T1,699.0,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/10 EP KB10 MAD WAGON VE COLOR TYPE2 BLUE,KYO-34701T2,KYO-34701T2,699.0,0 out of 5 stars,No,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/10 FAZER MK2 1968 PONTIAC GTO TYROL BLUE 4WD ELECTRIC TOURING CAR [34431T2],KYO-34431T2,KYO-34431T2,404.1,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/10 FAZER MK2 1969 CHEVY CAMARO Z/28 FROST GREEN 4WD ELECTRIC RC CAR [34418T2],KYO-34418T2,KYO-34418T2,379.0,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/10 FAZER MK2 1969 CHEVY CAMARO Z/28 RS SUPERCHARGED VE TUXEDO BLACK 4WD ELECTRIC TOURING CAR [34493T1],KYO-34493T1,KYO-34493T1,599.0,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/10 FAZER MK2 2005 FORD MUSTANG GT-R 4WD ELECTRIC TOURING CAR [34472T1],KYO-34472T1,KYO-34472T1,399.0,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/10 FAZER MK2 MAD VAN VE 4WD ELECTRIC [34491T1B],KYO-34491T1,KYO-34491T1,467.1,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/10 FAZER MK2 NISSAN SKYLINE 2000GT-R TUNED VER. SILVER 4WD ELECTRIC CAR [34425T1],KYO-34425T1,KYO-34425T1,459.0,0 out of 5 stars,No,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/10 FW-06 4WD NITRO TOURING CAR CHASSIS KIT [33216],KYO-33216,KYO-33216,499.0,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/10 OPTIMA MID ELECTRIC 4WD RACING BUGGY KIT [30622],KYO-30622,KYO-30622,649.0,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/18 MINI-Z 4X4 MX-01 READYSET SUZUKI JIMNY SIERRA BRISK BLUE METALLIC [32530MB],KYO-32530MB,KYO-32530MB,295.2,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/24 MINI-Z 4X4 MX-01 READYSET LAND ROVER DEFENDER CORRIS GRAY/SANTORINI BLACK,KYO-32526GM,KYO-32526GM,276.75,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/24 MINI-Z 4X4 MX-01 READYSET LAND ROVER DEFENDER GRASMERE GREEN/ALASKA WHITE,KYO-32527GR,KYO-32527GR,276.75,0 out of 5 stars,No,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/24 MINI-Z JEEP WRANGLER UNLIMITED RUBICON FIRECRACKER RED 4X4 [32521R],KYO-32521R,KYO-32521R,359.0,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/24 MINI-Z JEEP WRANGLER UNLIMITED RUBICON HELLAYELLA 4X4 [32521Y],KYO-32521Y,KYO-32521Y,269.25,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/8 EP KIT INFERNO MP10E TKI2 34116,KYO-34116,KYO-34116,1149.0,0 out of 5 stars,No,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/8 EP KIT INFERNO MP10TE [34115],KYO-34115,KYO-34115,1104.15,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/8 INFERNO MP9 TKI4 V2 READYSET 4WD NITRO RACING BUGGY [33021],KYO-33021,KYO-33021,849.0,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/8 INFERNO NEO 3.0 4WD NITRO RACING BUGGY READYSET (GREEN) [33012T4],KYO-33012T4,KYO-33012T4,599.99,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/8 INFERNO NEO 3.0 4WD NITRO RACING BUGGY READYSET (ORANGE) [33012T3],KYO-33012T3,KYO-33012T3,599.99,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/8 USA-1 4WD NITRO MONSTER TRUCK READYSET [33155],KYO-33155,KYO-33155,899.0,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/8 USA-1 VE 4WD MONSTER TRUCK BRUSHLESS READYSET W/KT-231P+,KYO-34257,KYO-34257,829.0,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO 33022 1:8 SCALE RADIO CONTROLLED .21 ENGINE POWERED 4WD RACING BUGGY INFERNO MP10 TKI2,KYO-33022,KYO-33022,1199.0,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO MINI-Z 4X4 MX-01 READYSET JEEP WRANGLER UNLIMITED RUBICON W/ACC. BILLET SILVER [32528S],KYO-32528S,KYO-32528S,379.0,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO MINI-Z 4X4 MX-01 READYSET JEEP WRANGLER UNLIMITED RUBICON W/ACC. MOJITO GREEN [32528GR],KYO-32528GR,KYO-32528GR,322.15,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO MINI-Z AWD MA-020 READYSET HONDA CIVIC TYPE R BLACK,KYO-32613BK,KYO-32613BK,339.0,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO MINI-Z AWD MA-020 READYSET HONDA CIVIC TYPE R BLUE,KYO-32613BL,KYO-32613BL,339.0,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO MINI-Z AWD MA-020 READYSET NISSAN GT-R (R35) (WHITE PEARL) [32628PW],KYO-32628PW,KYO-32628PW,349.0,0 out of 5 stars,No,No reviews
2023-09-14,frontline hobbies,KYOSHO MINI-Z AWD MA-020 READYSET NISSAN SKYLINE GT-R V.SPEC II NUR (R34) (METALLIC BLUE) [32629MB],KYO-32629MB,KYO-32629MB,349.0,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO MINI-Z AWD MA-020 READYSET NISSAN SKYLINE GT-R V.SPEC II NUR (R34) (WHITE) [32629W],KYO-32629W,KYO-32629W,349.0,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO MINI-Z BUGGY READYSET INFERNO MP9 EMERALD GREEN/BLACK 32093EGBK,KYO-32093EGBK,KYO-32093EGBK,329.0,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO MINI-Z BUGGY READYSET INFERNO MP9 WHITE/BLACK 32093WBK,KYO-32093WBK,KYO-32093WBK,329.0,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO MINI-Z HONDA NSX YELLOW PEARL RWD [32322Y],KYO-32322Y,KYO-32322Y,239.2,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO MINI-Z MERCEDES AMG GT3 PRESENTATION CAR RWD [32345GY],KYO-32345GY,KYO-32345GY,299.0,0 out of 5 stars,No,No reviews
2023-09-14,frontline hobbies,KYOSHO MINI-Z RWD MR-03 READYSET AUDI R8 LMS 2016 (BLACK/RED) [32344AS],KYO-32344BKR,KYO-32344BKR,299.0,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO MINI-Z RWD MR-03 READYSET MCLAREN 12C GT3 2013 WHITE,KYO-32343W,KYO-32343W,299.0,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO MINI-Z SUBARU IMPREZA WRC 2008 AWD [32631WR],KYO-32631WR,KYO-32631WR,296.65,0 out of 5 stars,No,No reviews
2023-09-14,frontline hobbies,KYOSHO MINI-Z SUZUKI JIMNY SIERRA APIO JIMNY TS4 KHAKI,KYO-32525K,KYO-32525K,349.0,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/10 TURBO OPTIMA 4WD EP RACING BUGGY KIT [30619],KYO-30619,KYO-30619,629.0,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/18 MINI-Z SUZUKI JIMNY SIERRA JUNGLE GREEN 4X4 RC CAR 32523GR,KYO-32523GR,KYO-32523GR,279.2,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO 30625 1/10 2WD EP RACING BUGGY ULTIMA KIT,KYO-30625,KYO-30625,549.0,0 out of 5 stars,Yes,No reviews
2023-09-14,frontline hobbies,KYOSHO 1/10 FAZER MK2 DODGE SRT CHALLENGER 2015 HELLCAT PLUM CRAZY PURPLE 4WD ELECTRIC CAR [34415T1],KYO-34415T1B,KYO-34415T1,429.0,0 out of 5 stars,Yes,No reviews
